City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
580,Hobyo,SO,79.95,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
584,Kyabe,TD,87.31,scattered clouds,9.4515,18.9449,
587,Touros,BR,86.7,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
588,Kasama,ZM,82.24,broken clouds,-10.2129,31.1808,Kalebalika Cottages
591,Tabou,CI,82.45,light rain,4.423,-7.3528,hotêl doufoulougou
592,Lakatoro,VU,78.19,scattered clouds,-16.0999,167.4164,Lakatoro Palm Lodge
594,Kimbe,PG,77.07,broken clouds,-5.5502,150.1429,Kimbe Bay Hotel
600,Lata,PT,79.36,broken clouds,40.1629,-8.3327,Casa Maquia
610,Yarada,IN,82.72,mist,17.65,83.2667,Jeevan
613,Ojinaga,MX,76.57,clear sky,29.5667,-104.4167,Suites Las Palmas
615,Puerto Escondido,MX,86.83,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
617,Serenje,ZM,80.47,overcast clouds,-13.2325,30.2352,The Kabaso's
619,Vanimo,PG,80.74,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
620,Ambon,ID,78.94,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
623,Sinjar,IQ,83.86,scattered clouds,36.3209,41.8754,زوماني فون 1
629,Lewistown,US,77.77,scattered clouds,40.5992,-77.5714,Quality Inn & Suites
632,Imbituba,BR,75.81,light rain,-28.24,-48.6703,Praia Hotel Imbituba
635,Nhulunbuy,AU,81.21,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
637,Palu,ID,77.72,broken clouds,-0.8917,119.8707,Hotel Santika Palu
639,Vyara,IN,83.19,broken clouds,21.1167,73.4,OYO 68448 Crystal Guest House
640,Kudahuvadhoo,MV,83.25,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
641,Paraiso,CR,76.87,broken clouds,9.8383,-83.8656,Rinconcito Verde
643,Dhidhdhoo,MV,81.63,scattered clouds,6.8833,73.1,Dhidhoo beach
644,Moussoro,TD,89.28,overcast clouds,13.6408,16.4901,Hôtel Maltina
645,Wattegama,LK,79.72,broken clouds,6.7989,81.4808,
651,Artesia,US,75.15,haze,33.8658,-118.0831,Days Inn & Suites by Wyndham Artesia
653,Khairpur,PK,85.84,clear sky,27.5295,68.7617,Mehran University SZAB Campus Hostel 2
654,Mangai,CD,86.86,overcast clouds,-4.05,19.5333,
655,Bafq,IR,75.11,clear sky,31.6128,55.4107,Alamdar Hotel
658,Malakal,SS,85.59,few clouds,9.5334,31.6605,Nile Palace Hotel
659,Ati,TD,87.94,overcast clouds,13.2154,18.3353,
660,Jacqueville,CI,85.91,scattered clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
662,Myitkyina,MM,79.3,overcast clouds,25.3833,97.4,Shwe Phyu Hotel
666,Maragogi,BR,84.09,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
671,Les Cayes,HT,87.71,scattered clouds,18.2,-73.75,Villa Orphee
672,Upington,ZA,76.69,overcast clouds,-28.4478,21.2561,River Place Manor
