City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
189,Hasaki,JP,35.7333,140.8333,64.8,70,89,6.02,overcast clouds
190,Isangel,VU,-19.55,169.2667,73.6,90,40,9.69,scattered clouds
191,Nantucket,US,41.2835,-70.0995,66.09,82,90,5.75,overcast clouds
192,Klaksvik,FO,62.2266,-6.589,45.52,79,99,28.21,overcast clouds
193,Kahului,US,20.8947,-156.47,75.85,89,49,8.01,scattered clouds
194,Luanda,AO,-8.8368,13.2343,80.6,69,20,11.5,few clouds
195,Coihaique,CL,-45.5752,-72.0662,49.95,57,75,6.91,broken clouds
196,Ouegoa,NC,-20.35,164.4333,71.42,81,54,8.97,broken clouds
197,Castro,BR,-24.7911,-50.0119,66.65,93,100,5.68,heavy intensity rain
198,Vestmanna,FO,62.1564,-7.1664,43.72,87,90,24.16,overcast clouds
199,Taramangalam,IN,11.7,77.9833,83.61,86,89,4.54,light rain
200,Nouadhibou,MR,20.931,-17.0347,72.91,73,18,18.95,few clouds
201,Vohibinany,MG,-17.35,49.0333,67.75,93,1,2.3,clear sky
202,Lorengau,PG,-2.0226,147.2712,82.99,78,9,10.04,clear sky
203,Lompoc,US,34.6391,-120.4579,70.79,61,1,9.22,clear sky
204,Medicine Hat,CA,50.0501,-110.6683,36.21,62,35,4.0,scattered clouds
205,Aswan,EG,24.0934,32.907,101.64,12,0,5.5,clear sky
206,Berlevag,NO,70.8578,29.0864,39.15,81,40,14.97,scattered clouds
207,Along,IN,28.1667,94.7667,75.36,73,61,1.92,broken clouds
208,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,41.97,93,100,9.04,light rain
209,Derzhavinsk,KZ,51.1,66.3167,48.07,60,0,7.23,clear sky
210,Mwanza,TZ,-2.5167,32.9,80.49,50,90,8.12,overcast clouds
211,Saldanha,ZA,-33.0117,17.9442,60.21,62,100,13.65,overcast clouds
212,East London,ZA,-33.0153,27.9116,68.63,73,100,11.79,overcast clouds
213,Mehamn,NO,71.0357,27.8492,39.11,87,75,8.05,broken clouds
214,Chimore,BO,-16.9833,-65.1333,92.75,51,78,2.46,broken clouds
215,Lac Du Bonnet,CA,50.2536,-96.0612,41.9,88,100,8.99,overcast clouds
216,Manati,PR,18.4275,-66.4921,90.41,75,95,5.26,overcast clouds
217,Luganville,VU,-15.5333,167.1667,77.41,86,60,3.44,broken clouds
218,Bubaque,GW,11.2833,-15.8333,83.98,65,3,5.7,clear sky
219,Pyaozerskiy,RU,65.8333,31.1667,42.33,85,100,13.53,overcast clouds
220,San Jeronimo,PE,-11.9472,-75.2829,60.91,48,77,1.1,broken clouds
221,Fairbanks,US,64.8378,-147.7164,28.22,82,100,1.61,overcast clouds
222,Ribas Do Rio Pardo,BR,-20.4431,-53.7592,94.19,41,36,18.14,scattered clouds
223,Minab,IR,27.1467,57.0801,87.3,35,0,4.45,clear sky
224,Pandan,PH,14.0453,124.1694,79.29,86,68,7.87,broken clouds
225,Coahuayana,MX,18.7333,-103.6833,83.68,75,5,1.54,clear sky
226,Sola,VU,-13.8833,167.55,80.37,76,88,3.62,overcast clouds
227,Qasigiannguit,GL,68.8193,-51.1922,34.05,92,68,4.83,broken clouds
228,Anloga,GH,5.7947,0.8973,83.77,72,27,12.3,scattered clouds
229,Saint-Augustin,CA,51.226,-58.6502,49.66,78,87,16.15,overcast clouds
230,Kirakira,SB,-10.4544,161.9205,80.1,83,100,4.21,overcast clouds
231,Bonthe,SL,7.5264,-12.505,85.91,63,48,10.25,scattered clouds
232,Truth Or Consequences,US,33.1284,-107.2528,53.91,39,1,9.22,clear sky
233,Leningradskiy,RU,69.3833,178.4167,17.69,95,100,6.93,light snow
234,Kermanshah,IR,34.3142,47.065,79.7,12,0,13.8,clear sky
235,Flinders,AU,-34.5833,150.8552,57.18,68,34,5.01,scattered clouds
236,Marfino,RU,55.7028,37.3822,46.31,72,0,11.18,clear sky
237,Chaoyang,CN,41.5703,120.4586,37.92,24,0,17.98,clear sky
238,Adrar,MR,20.5022,-10.0711,100.29,8,88,12.66,overcast clouds
239,Tura,IN,25.5198,90.2201,77.07,93,99,3.96,overcast clouds
240,Roebourne,AU,-20.7833,117.1333,75.45,64,3,13.02,clear sky
241,Ostrovnoy,RU,68.0531,39.5131,40.77,79,75,24.16,broken clouds
242,Naze,JP,28.3667,129.4833,74.35,82,14,3.38,few clouds
243,Wagga Wagga,AU,-35.1167,147.3667,50.41,100,90,11.5,light rain
244,Svetlaya,RU,46.5389,138.3297,37.31,65,0,3.09,clear sky
245,Bjornevatn,NO,69.6672,29.9847,34.14,93,40,5.75,scattered clouds
246,Vallenar,CL,-28.5708,-70.7581,75.27,24,0,6.38,clear sky
247,Inhambane,MZ,-23.865,35.3833,79.77,72,57,15.12,broken clouds
248,Senec,SK,48.2195,17.4004,60.33,65,20,8.05,few clouds
249,Sao Filipe,CV,14.8961,-24.4956,79.59,74,3,12.15,clear sky
250,Waipawa,NZ,-41.4122,175.5153,52.03,91,0,4.92,clear sky
251,Scottsbluff,US,41.8666,-103.6672,41.43,63,1,11.01,clear sky
252,Darnah,LY,32.767,22.6367,74.91,52,51,20.4,broken clouds
253,Nome,US,64.5011,-165.4064,28.47,80,90,10.36,overcast clouds
254,Bilma,NE,18.6853,12.9164,99.72,7,96,5.97,overcast clouds
255,Chegdomyn,RU,51.1167,133.0167,29.41,78,100,3.18,overcast clouds
256,Poronaysk,RU,49.2167,143.1167,35.15,73,6,10.2,clear sky
257,Batemans Bay,AU,-35.7167,150.1833,55.2,85,83,7.52,broken clouds
258,Nanakuli,US,21.3906,-158.1547,75.11,86,90,5.75,overcast clouds
259,Pangnirtung,CA,66.1451,-65.7125,32.0,49,66,1.28,broken clouds
260,Mayo,US,38.8876,-76.5119,77.99,76,62,1.99,broken clouds
261,Manta,EC,-0.95,-80.7333,76.78,83,90,13.8,overcast clouds
262,Tahe,CN,52.3333,124.7333,21.83,55,100,11.72,overcast clouds
263,Necochea,AR,-38.5473,-58.7368,62.04,44,0,10.98,clear sky
264,Ivnya,RU,51.0629,36.1343,49.91,59,8,5.93,clear sky
265,Corinth,GR,37.9407,22.9573,69.69,72,100,10.22,light rain
266,Angoche,MZ,-16.2325,39.9086,80.2,75,0,15.14,clear sky
267,Beringovskiy,RU,63.05,179.3167,14.43,87,56,6.69,broken clouds
268,Pontes E Lacerda,BR,-15.2261,-59.3353,101.26,28,25,11.21,scattered clouds
269,La Carolina,ES,38.2756,-3.6153,78.31,22,55,6.8,broken clouds
270,Ketchikan,US,55.3422,-131.6461,39.22,88,33,1.43,scattered clouds
271,Mongoumba,CF,3.6415,18.5936,79.2,75,98,2.71,light rain
272,Shingu,JP,33.7333,135.9833,67.96,92,9,3.51,clear sky
